CarNo,Leave Time,Departure Time
101,20:15,2024-08-01 20:15:00
103,20:30,2024-08-01 20:30:00
105,20:30,2024-08-01 20:30:00
107,21:00,2024-08-01 21:00:00
109,20:30,2024-08-01 20:30:00
111,21:00,2024-08-01 21:00:00
113,21:00,2024-08-01 21:00:00
115,21:00,2024-08-01 21:00:00
117,22:00,2024-08-01 22:00:00
119,21:00,2024-08-01 21:00:00
121,22:00,2024-08-01 22:00:00
123,22:00,2024-08-01 22:00:00
201,22:20,2024-08-01 22:20:00
203,22:55,2024-08-01 22:55:00
205,23:00,2024-08-01 23:00:00
207,23:15,2024-08-01 23:15:00
209,23:25,2024-08-01 23:25:00
211,23:25,2024-08-01 23:25:00
213,23:45,2024-08-01 23:45:00
215,23:10,2024-08-01 23:10:00
219,23:30,2024-08-01 23:30:00
221,00:10,2024-08-02 00:10:00
223,00:00,2024-08-02 00:00:00
225,00:10,2024-08-02 00:10:00
227,00:15,2024-08-02 00:15:00
229,00:35,2024-08-02 00:35:00
231,00:40,2024-08-02 00:40:00
233,00:45,2024-08-02 00:45:00
500,19:30,2024-08-01 19:30:00
560,20:00,2024-08-01 20:00:00
580,20:00,2024-08-01 20:00:00
550,20:15,2024-08-01 20:15:00
530,20:15,2024-08-01 20:15:00
710,20:15,2024-08-01 20:15:00
510,20:30,2024-08-01 20:30:00
740,21:30,2024-08-01 21:30:00
551,22:00,2024-08-01 22:00:00
570,22:30,2024-08-01 22:30:00
581,23:30,2024-08-01 23:30:00
700/1,23:35,2024-08-01 23:35:00
700/2,00:05,2024-08-02 00:05:00
